Device_ID,Timestamp,RSRP_dBm,RSRQ_dB,SINR_dB,CPU_Usage_Percent,Available_CPU_Percent,Max_CPU_Frequency_MHz,CPU_Temperature_C,Used_Memory_GB,Total_Memory_GB,Memory_Usage_Percent,Available_Memory_Percent,Available_Memory_GB,Used_Storage_GB,Total_Storage_GB,Storage_Usage_Percent,Available_Storage_Percent,Available_Storage_GB,Active_Tasks
raspberry_pi_4A,2025-06-25T09:53:46Z,-103.9,-11.4,7.7,71.8,28.2,2219,55.2,2.64,4,66,34,1.36,13.05,32,40.8,59.2,18.95,167
raspberry_pi_4A,2025-06-25T09:54:16Z,-100.5,-6.9,19.8,42.4,57.6,1380.3,53.4,1.97,4,49.2,50.8,2.03,10.59,32,33.1,66.9,21.41,101
raspberry_pi_4A,2025-06-25T09:54:46Z,-100.1,-5.1,3.1,45.4,54.6,2215.6,46.6,1.5,4,37.5,62.5,2.5,7.9,32,24.7,75.3,24.1,144
raspberry_pi_4A,2025-06-25T09:55:16Z,-89.9,-7.9,13.8,60,40,1560.8,56.5,1.24,4,31,69,2.76,5.95,32,18.6,81.4,26.05,155
raspberry_pi_4A,2025-06-25T09:55:46Z,-111.2,-5,-2.8,71,29,1400.9,46.5,2.4,4,60,40,1.6,14.62,32,45.7,54.3,17.38,176
raspberry_pi_4A,2025-06-25T09:56:16Z,-89.1,-9.2,13.4,77.9,22.1,1005.2,62,2.16,4,54,46,1.84,7.34,32,22.9,77.1,24.66,128
raspberry_pi_4A,2025-06-25T09:56:46Z,-86.4,-12,15.3,18.7,81.3,1996.9,43.2,1.71,4,42.8,57.2,2.29,11.05,32,34.5,65.5,20.95,110
raspberry_pi_4A,2025-06-25T09:57:16Z,-110.2,-11.6,9.6,64.2,35.8,1229.6,71.3,1.96,4,49,51,2.04,11.48,32,35.9,64.1,20.52,195
raspberry_pi_4A,2025-06-25T09:57:46Z,-91.3,-14.2,-4,34.3,65.7,1337.7,65.9,1.2,4,30,70,2.8,5.24,32,16.4,83.6,26.76,180
raspberry_pi_4A,2025-06-25T09:58:16Z,-107.5,-7.8,15.1,29.3,70.7,2162.7,41,2.92,4,73,27,1.08,10.9,32,34.1,65.9,21.1,140
raspberry_pi_4A,2025-06-25T09:58:46Z,-109.8,-6.6,18.2,60.4,39.6,2068.2,41,1.96,4,49,51,2.04,6.18,32,19.3,80.7,25.82,158
raspberry_pi_4A,2025-06-25T09:59:16Z,-99.4,-10,4.7,66.5,33.5,1528.9,61.5,2.08,4,52,48,1.92,8.29,32,25.9,74.1,23.71,145
raspberry_pi_4A,2025-06-25T09:59:46Z,-97.2,-12.6,5.5,37,63,1246,51.1,1.07,4,26.8,73.2,2.93,11.09,32,34.7,65.3,20.91,147
raspberry_pi_4A,2025-06-25T10:00:16Z,-85.3,-7.4,22.8,54.9,45.1,1691.5,55.4,1.4,4,35,65,2.6,11.45,32,35.8,64.2,20.55,166
raspberry_pi_4A,2025-06-25T10:00:46Z,-85.4,-13.4,7.5,59.8,40.2,1655.9,68.4,2.24,4,56,44,1.76,12.33,32,38.5,61.5,19.67,126
raspberry_pi_4A,2025-06-25T10:01:16Z,-112.4,-8.9,16.5,22.6,77.4,1005,45.8,2.7,4,67.5,32.5,1.3,14.41,32,45,55,17.59,100
raspberry_pi_4A,2025-06-25T10:01:46Z,-103.5,-12.7,20.5,28.7,71.3,2217.1,66.9,2.82,4,70.5,29.5,1.18,13.84,32,43.2,56.8,18.16,185
raspberry_pi_4A,2025-06-25T10:02:16Z,-107.2,-9,3.1,58.2,41.8,1633,65.7,2.91,4,72.8,27.2,1.09,5.83,32,18.2,81.8,26.17,144
raspberry_pi_4A,2025-06-25T10:02:46Z,-110.4,-8.8,20.4,51.6,48.4,1300.7,71.1,1.17,4,29.2,70.8,2.83,14.59,32,45.6,54.4,17.41,181
raspberry_pi_4A,2025-06-25T10:03:16Z,-87.1,-8.1,7.4,22.2,77.8,1712.9,78.2,2.85,4,71.2,28.8,1.15,14.33,32,44.8,55.2,17.67,170
