Device_ID,Timestamp,RSRP_dBm,RSRQ_dB,SINR_dB,CPU_Usage_Percent,Available_CPU_Percent,Max_CPU_Frequency_MHz,CPU_Temperature_C,Used_Memory_GB,Total_Memory_GB,Memory_Usage_Percent,Available_Memory_Percent,Available_Memory_GB,Used_Storage_GB,Total_Storage_GB,Storage_Usage_Percent,Available_Storage_Percent,Available_Storage_GB,Active_Tasks
raspberry_pi_5B,2025-06-25T09:53:46Z,-113.9,-7.8,-2.6,39.2,60.8,2089.2,47.1,1.69,4,42.2,57.8,2.31,5.05,32,15.8,84.2,26.95,131
raspberry_pi_5B,2025-06-25T09:54:16Z,-109.2,-9.2,24.8,11.8,88.2,1204.6,42.6,1.11,4,27.8,72.2,2.89,10.11,32,31.6,68.4,21.89,118
raspberry_pi_5B,2025-06-25T09:54:46Z,-113.1,-13.1,-3.4,18.5,81.5,1004.1,48.2,2.82,4,70.5,29.5,1.18,12.72,32,39.8,60.2,19.28,124
raspberry_pi_5B,2025-06-25T09:55:16Z,-107.8,-8,19.3,17.1,82.9,1571.2,63.5,1.82,4,45.5,54.5,2.18,8.34,32,26.1,73.9,23.66,170
raspberry_pi_5B,2025-06-25T09:55:46Z,-112.4,-9.3,16.2,29.8,70.2,2075,52,2.39,4,59.8,40.2,1.61,12.83,32,40.1,59.9,19.17,101
raspberry_pi_5B,2025-06-25T09:56:16Z,-100.9,-9,14.5,26.5,73.5,1292.3,45.8,1.25,4,31.2,68.8,2.75,13.96,32,43.6,56.4,18.04,151
raspberry_pi_5B,2025-06-25T09:56:46Z,-105.3,-6.3,2.8,70.5,29.5,1252.9,67.3,2.18,4,54.5,45.5,1.82,10.12,32,31.6,68.4,21.88,198
raspberry_pi_5B,2025-06-25T09:57:16Z,-85.5,-11.8,7,27.4,72.6,1111.5,66.5,2.98,4,74.5,25.5,1.02,10.71,32,33.5,66.5,21.29,151
raspberry_pi_5B,2025-06-25T09:57:46Z,-93.4,-10.2,-4.2,33.6,66.4,2168,73.2,1.5,4,37.5,62.5,2.5,9.61,32,30,70,22.39,114
raspberry_pi_5B,2025-06-25T09:58:16Z,-95.5,-5.6,24.2,24.6,75.4,1217.8,67.8,2.54,4,63.5,36.5,1.46,9.29,32,29,71,22.71,118
raspberry_pi_5B,2025-06-25T09:58:46Z,-86.4,-11.9,9.1,20.5,79.5,2375.5,55.1,2.09,4,52.2,47.8,1.91,12.96,32,40.5,59.5,19.04,166
raspberry_pi_5B,2025-06-25T09:59:16Z,-96.5,-13.1,21.7,60.7,39.3,1216.1,46.6,1.28,4,32,68,2.72,13.27,32,41.5,58.5,18.73,175
raspberry_pi_5B,2025-06-25T09:59:46Z,-108.3,-9.6,16.3,56,44,1686.5,73.5,2.31,4,57.8,42.2,1.69,11.09,32,34.7,65.3,20.91,159
raspberry_pi_5B,2025-06-25T10:00:16Z,-87.7,-14.7,24.9,72.3,27.7,1389.3,66.7,1.12,4,28,72,2.88,8.46,32,26.4,73.6,23.54,171
raspberry_pi_5B,2025-06-25T10:00:46Z,-110.3,-11.7,-1.3,12.9,87.1,1330.4,68.4,2.78,4,69.5,30.5,1.22,5.47,32,17.1,82.9,26.53,172
raspberry_pi_5B,2025-06-25T10:01:16Z,-87,-5.5,21.3,55.9,44.1,1139.1,41.4,1.49,4,37.2,62.8,2.51,10.16,32,31.8,68.2,21.84,124
raspberry_pi_5B,2025-06-25T10:01:46Z,-92,-11.8,-1.1,78.6,21.4,2141.7,60,1.41,4,35.2,64.8,2.59,11.61,32,36.3,63.7,20.39,165
raspberry_pi_5B,2025-06-25T10:02:16Z,-85.2,-8.7,2.6,50.1,49.9,1882.8,55.3,1.08,4,27,73,2.92,14.72,32,46,54,17.28,150
raspberry_pi_5B,2025-06-25T10:02:46Z,-91.4,-14.3,19.3,14.5,85.5,1650.3,58.2,1.68,4,42,58,2.32,12.73,32,39.8,60.2,19.27,141
raspberry_pi_5B,2025-06-25T10:03:16Z,-114.4,-5.6,23,25.1,74.9,2090.6,79.4,2.01,4,50.2,49.8,1.99,11.58,32,36.2,63.8,20.42,157
raspberry_pi_5B,2025-06-25T10:03:46Z,-94.3,-8.8,-3.6,26.3,73.7,2223.9,47.8,2.54,4,63.5,36.5,1.46,12.75,32,39.8,60.2,19.25,186
raspberry_pi_5B,2025-06-25T10:04:16Z,-111.9,-6,-3.6,14.6,85.4,1584.7,51.8,1.26,4,31.5,68.5,2.74,7.45,32,23.3,76.7,24.55,168
raspberry_pi_5B,2025-06-25T10:04:46Z,-95.8,-13.6,4.4,61.1,38.9,1661.2,71.1,1.19,4,29.8,70.2,2.81,5.45,32,17,83,26.55,187
raspberry_pi_5B,2025-06-25T10:05:16Z,-93.8,-10,11.7,89.8,10.2,2164.4,74.7,2.41,4,60.2,39.8,1.59,5.28,32,16.5,83.5,26.72,103
raspberry_pi_5B,2025-06-25T10:05:46Z,-106.4,-12.8,-4.2,11,89,1537.3,45.3,1.9,4,47.5,52.5,2.1,5.46,32,17.1,82.9,26.54,112
raspberry_pi_5B,2025-06-25T10:06:16Z,-89.8,-7.4,21.5,75.3,24.7,1937.2,72.6,2.36,4,59,41,1.64,13.99,32,43.7,56.3,18.01,132
raspberry_pi_5B,2025-06-25T10:06:46Z,-100.3,-9,15.7,81,19,2396.9,42.1,2.08,4,52,48,1.92,5.63,32,17.6,82.4,26.37,195
raspberry_pi_5B,2025-06-25T10:07:16Z,-108.8,-11.5,12.2,67.2,32.8,1373.7,76.1,2.48,4,62,38,1.52,7.14,32,22.3,77.7,24.86,115
raspberry_pi_5B,2025-06-25T10:07:46Z,-106,-9.3,16.6,63.6,36.4,1384.4,56.9,1.64,4,41,59,2.36,12.72,32,39.8,60.2,19.28,101
raspberry_pi_5B,2025-06-25T10:08:16Z,-89.4,-11.6,9.5,85.7,14.3,2142.6,68.6,1.14,4,28.5,71.5,2.86,12.7,32,39.7,60.3,19.3,120
raspberry_pi_5B,2025-06-25T10:08:46Z,-114.8,-11.9,16.3,66.8,33.2,2180.7,71,1.51,4,37.8,62.2,2.49,14.26,32,44.6,55.4,17.74,177
raspberry_pi_5B,2025-06-25T10:09:16Z,-114.5,-7.5,-2.7,48.8,51.2,2293.6,40.2,1.33,4,33.2,66.8,2.67,7.18,32,22.4,77.6,24.82,140
raspberry_pi_5B,2025-06-25T10:09:46Z,-90.4,-8.9,3.7,25.7,74.3,2148.5,62.4,2.42,4,60.5,39.5,1.58,12.32,32,38.5,61.5,19.68,156
raspberry_pi_5B,2025-06-25T10:10:16Z,-91.1,-8.4,12.7,41.9,58.1,1087.4,59.2,1.75,4,43.8,56.2,2.25,8.71,32,27.2,72.8,23.29,159
raspberry_pi_5B,2025-06-25T10:10:46Z,-104.4,-10,2.6,55.8,44.2,2223.4,68.7,1.38,4,34.5,65.5,2.62,10.37,32,32.4,67.6,21.63,191
raspberry_pi_5B,2025-06-25T10:11:16Z,-104.8,-13.3,9.9,15.1,84.9,1991.7,70.3,1.34,4,33.5,66.5,2.66,5.14,32,16.1,83.9,26.86,136
